title,price,location,date,link
PS 4 - Play Station 4 500GB + 2 controllere + 6 jocuri,850 lei,N/A,N/A,https://www.olx.ro/d/oferta/ps-4-play-station-4-500gb-2-controllere-6-jocuri-IDkHMmq.html?search_reason=search%7Cpromoted
Vand playstation slim 1tb,900 lei,N/A,N/A,https://www.olx.ro/d/oferta/vand-playstation-slim-1tb-IDkLzqd.html?search_reason=search%7Corganic
Vand Playstation 4,4650 lei,N/A,N/A,https://www.olx.ro/d/oferta/vand-playstation-4-IDkzSPm.html?search_reason=search%7Corganic
Ochelari Casca VR Playstation Ps4/Ps5 Vezi Descriere Anunt-FIX,150 lei,N/A,N/A,https://www.olx.ro/d/oferta/ochelari-casca-vr-playstation-ps4-ps5-vezi-descriere-anunt-fix-IDkJnti.html?search_reason=search%7Corganic
Ps 3 Super Slim DEFECT.,100 lei,N/A,N/A,https://www.olx.ro/d/oferta/ps-3-super-slim-defect-IDkwlAU.html?search_reason=search%7Corganic
Ps 4 pro 1tb pret fix,700 lei,N/A,N/A,https://www.olx.ro/d/oferta/ps-4-pro-1tb-pret-fix-IDkGg27.html?search_reason=search%7Corganic
PlayStation 4 500GB cu jocuri si manete,620 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-4-500gb-cu-jocuri-si-manete-IDkLLzV.html?search_reason=search%7Corganic
Controller Wireless compatibil PS4 / PC - Pentru piese (Buton L1 defect),30 lei,N/A,N/A,https://www.olx.ro/d/oferta/controller-wireless-compatibil-ps4-pc-pentru-piese-buton-l1-defect-IDkEVby.html?search_reason=search%7Corganic
Playstation 5 Slim 825Gb - 2 controllere,850 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-5-slim-825gb-2-controllere-IDkMfr8.html?search_reason=search%7Cpromoted
PlayStation 4 ps 4 Pro 4k–Nu ca alte console de pe OLX – Curățare Prof,800 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-4-ps-4-pro-4knu-ca-alte-console-de-pe-olx-curatare-prof-IDk0wdt.html?search_reason=search%7Cpromoted
Joc Video Lego DC Super Villains Ps4,465 lei,N/A,N/A,https://www.olx.ro/d/oferta/joc-video-lego-dc-super-villains-ps4-IDkL4RK.html?search_reason=search%7Cpromoted
Vând Console PlayStation 4 defecte în stare bună estetică  piese,500 lei,N/A,N/A,https://www.olx.ro/d/oferta/vand-console-playstation-4-defecte-in-stare-buna-estetica-piese-IDkIltx.html?search_reason=search%7Corganic
Ps 4 slim pret fix,480 lei,N/A,N/A,https://www.olx.ro/d/oferta/ps-4-slim-pret-fix-IDkG2Gc.html?search_reason=search%7Corganic
PlayStation 2 PS2 Ocean Blue limited edition SCPH-37000L Japonia,500 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-2-ps2-ocean-blue-limited-edition-scph-37000l-japonia-IDkCPhx.html?search_reason=search%7Corganic
Playstation 5 Slim. In stare perfecta,200 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-5-slim-in-stare-perfecta-IDkLi0o.html?search_reason=search%7Corganic
FC 24 - PS5 / Playstation 5,540 lei,N/A,N/A,https://www.olx.ro/d/oferta/fc-24-ps5-playstation-5-IDkLDLs.html?search_reason=search%7Cpromoted
Joc video Injustice 2 Legendary Edition Ps4,465 lei,N/A,N/A,https://www.olx.ro/d/oferta/joc-video-injustice-2-legendary-edition-ps4-IDkL4Ru.html?search_reason=search%7Cpromoted
Vând PlayStation 4 slim 1TB,N/A,N/A,N/A,https://www.olx.ro/d/oferta/vand-playstation-4-slim-1tb-IDkBQBy.html?search_reason=search%7Corganic
Vand FC26 PS4 nou,150 lei,N/A,N/A,https://www.olx.ro/d/oferta/vand-fc26-ps4-nou-IDkLO4T.html?search_reason=search%7Corganic
Playstation 4 Slim 500Gb / Amanet Cashbook Braila Viziru,350 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-4-slim-500gb-amanet-cashbook-braila-viziru-IDkAESq.html?search_reason=search%7Corganic
"PlayStation 5 Pro 2TB + 2 manete originale, stare excelenta  PREȚ NEGOCIABIL",700 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-5-pro-2tb-2-manete-originale-stare-excelenta-pret-negociabil-IDkF97p.html?search_reason=search%7Cpromoted
Joc Video NBA 2K19 Ps4,465 lei,N/A,N/A,https://www.olx.ro/d/oferta/joc-video-nba-2k19-ps4-IDkL4Rc.html?search_reason=search%7Cpromoted
Joc Video Assassins Creed Valhalla Ps4,465 lei,N/A,N/A,https://www.olx.ro/d/oferta/joc-video-assassins-creed-valhalla-ps4-IDkL4Se.html?search_reason=search%7Cpromoted
Playstation 4 slim cu tot cu jocuri,730 lei,N/A,N/A,https://www.olx.ro/d/oferta/playstation-4-slim-cu-tot-cu-jocuri-IDkGu6N.html?search_reason=search%7Corganic
